State,County Name,"County Name, State",Value
PA,CARBON COUNTY,"PA, CARBON COUNTY","195,000"
MD,CAROLINE COUNTY,"MD, CAROLINE COUNTY","200,000"
VA,CAROLINE COUNTY,"VA, CAROLINE COUNTY","205,000"
MD,CARROLL COUNTY,"MD, CARROLL COUNTY","210,000"
VA,CARROLL COUNTY,"VA, CARROLL COUNTY","215,000"
MD,CECIL COUNTY,"MD, CECIL COUNTY","220,000"
PA,CENTRE COUNTY,"PA, CENTRE COUNTY","225,000"
VA,CHARLES CITY COUNTY,"VA, CHARLES CITY COUNTY","230,000"
MD,CHARLES COUNTY,"MD, CHARLES COUNTY","235,000"
VA,CHARLOTTE COUNTY,"VA, CHARLOTTE COUNTY","240,000"
VA,CHARLOTTESVILLE CITY,"VA, CHARLOTTESVILLE CITY","245,000"
VA,CHESAPEAKE CITY,"VA, CHESAPEAKE CITY","250,000"
PA,CHESTER COUNTY,"PA, CHESTER COUNTY","255,000"
VA,CHESTERFIELD COUNTY,"VA, CHESTERFIELD COUNTY","260,000"
PA,CLARION COUNTY,"PA, CLARION COUNTY","265,000"
VA,CLARKE COUNTY,"VA, CLARKE COUNTY","270,000"
PA,CLEARFIELD COUNTY,"PA, CLEARFIELD COUNTY","275,000"
PA,CLINTON COUNTY,"PA, CLINTON COUNTY","280,000"
VA,COLONIAL HEIGHTS CITY,"VA, COLONIAL HEIGHTS CITY","285,000"
PA,COLUMBIA COUNTY,"PA, COLUMBIA COUNTY","290,000"
VA,COVINGTON CITY,"VA, COVINGTON CITY","295,000"
VA,CRAIG COUNTY,"VA, CRAIG COUNTY","300,000"
PA,CRAWFORD COUNTY,"PA, CRAWFORD COUNTY","305,000"
VA,CULPEPER COUNTY,"VA, CULPEPER COUNTY","310,000"
PA,CUMBERLAND COUNTY,"PA, CUMBERLAND COUNTY","315,000"
VA,CUMBERLAND COUNTY,"VA, CUMBERLAND COUNTY","320,000"
VA,DANVILLE CITY,"VA, DANVILLE CITY","325,000"
PA,DAUPHIN COUNTY,"PA, DAUPHIN COUNTY","330,000"
PA,DELAWARE COUNTY,"PA, DELAWARE COUNTY","335,000"
VA,DICKENSON COUNTY,"VA, DICKENSON COUNTY","340,000"
VA,DINWIDDIE COUNTY,"VA, DINWIDDIE COUNTY","345,000"
DC,DISTRICT OF COLUMBIA,"DC, DISTRICT OF COLUMBIA","350,000"
MD,DORCHESTER COUNTY,"MD, DORCHESTER COUNTY","355,000"
PA,ELK COUNTY,"PA, ELK COUNTY","360,000"
VA,EMPORIA CITY,"VA, EMPORIA CITY","365,000"
PA,ERIE COUNTY,"PA, ERIE COUNTY","370,000"
VA,ESSEX COUNTY,"VA, ESSEX COUNTY","375,000"
VA,FAIRFAX CITY,"VA, FAIRFAX CITY","380,000"
VA,FAIRFAX COUNTY,"VA, FAIRFAX COUNTY","385,000"
VA,FALLS CHURCH CITY,"VA, FALLS CHURCH CITY","390,000"
VA,FAUQUIER COUNTY,"VA, FAUQUIER COUNTY","395,000"
PA,FAYETTE COUNTY,"PA, FAYETTE COUNTY","400,000"
VA,FLOYD COUNTY,"VA, FLOYD COUNTY","405,000"
VA,FLUVANNA COUNTY,"VA, FLUVANNA COUNTY","410,000"
PA,FOREST COUNTY,"PA, FOREST COUNTY","415,000"
VA,FRANKLIN CITY,"VA, FRANKLIN CITY","420,000"
PA,FRANKLIN COUNTY,"PA, FRANKLIN COUNTY","425,000"
VA,FRANKLIN COUNTY,"VA, FRANKLIN COUNTY","430,000"
MD,FREDERICK COUNTY,"MD, FREDERICK COUNTY","435,000"
VA,FREDERICK COUNTY,"VA, FREDERICK COUNTY","440,000"
VA,FREDERICKSBURG CITY,"VA, FREDERICKSBURG CITY","445,000"
PA,FULTON COUNTY,"PA, FULTON COUNTY","233,333"
VA,GALAX CITY,"VA, GALAX CITY","229,878"
MD,GARRETT COUNTY,"MD, GARRETT COUNTY","226,423"
VA,GILES COUNTY,"VA, GILES COUNTY","222,968"
VA,GLOUCESTER COUNTY,"VA, GLOUCESTER COUNTY","219,513"
VA,GOOCHLAND COUNTY,"VA, GOOCHLAND COUNTY","216,058"
VA,GRAYSON COUNTY,"VA, GRAYSON COUNTY","212,603"
PA,GREENE COUNTY,"PA, GREENE COUNTY","209,148"
VA,GREENE COUNTY,"VA, GREENE COUNTY","205,693"
VA,GREENSVILLE COUNTY,"VA, GREENSVILLE COUNTY","202,238"
VA,HALIFAX COUNTY,"VA, HALIFAX COUNTY","198,783"
VA,HAMPTON CITY,"VA, HAMPTON CITY","195,328"
VA,HANOVER COUNTY,"VA, HANOVER COUNTY","191,873"
MD,HARFORD COUNTY,"MD, HARFORD COUNTY","188,418"
VA,HARRISONBURG CITY,"VA, HARRISONBURG CITY","184,963"
VA,HENRICO COUNTY,"VA, HENRICO COUNTY","181,508"
VA,HENRY COUNTY,"VA, HENRY COUNTY","178,053"
VA,HIGHLAND COUNTY,"VA, HIGHLAND COUNTY","174,598"
VA,HOPEWELL CITY,"VA, HOPEWELL CITY","171,143"
MD,HOWARD COUNTY,"MD, HOWARD COUNTY","167,688"
PA,HUNTINGDON COUNTY,"PA, HUNTINGDON COUNTY","164,233"
PA,INDIANA COUNTY,"PA, INDIANA COUNTY","160,778"
VA,ISLE OF WIGHT COUNTY,"VA, ISLE OF WIGHT COUNTY","157,323"
VA,JAMES CITY COUNTY,"VA, JAMES CITY COUNTY","153,868"
PA,JEFFERSON COUNTY,"PA, JEFFERSON COUNTY","150,413"
PA,JUNIATA COUNTY,"PA, JUNIATA COUNTY","146,958"
DE,KENT COUNTY,"DE, KENT COUNTY","143,503"
MD,KENT COUNTY,"MD, KENT COUNTY","140,048"
VA,KING AND QUEEN COUNTY,"VA, KING AND QUEEN COUNTY","136,593"
VA,KING GEORGE COUNTY,"VA, KING GEORGE COUNTY","133,138"
VA,KING WILLIAM COUNTY,"VA, KING WILLIAM COUNTY","129,683"
PA,LACKAWANNA COUNTY,"PA, LACKAWANNA COUNTY","126,228"
PA,LANCASTER COUNTY,"PA, LANCASTER COUNTY","122,773"
VA,LANCASTER COUNTY,"VA, LANCASTER COUNTY","119,318"
PA,LAWRENCE COUNTY,"PA, LAWRENCE COUNTY","115,863"
PA,LEBANON COUNTY,"PA, LEBANON COUNTY","112,408"
VA,LEE COUNTY,"VA, LEE COUNTY","108,953"
PA,LEHIGH COUNTY,"PA, LEHIGH COUNTY","105,498"
VA,LEXINGTON CITY,"VA, LEXINGTON CITY","102,043"
VA,LOUDOUN COUNTY,"VA, LOUDOUN COUNTY","98,588"
VA,LOUISA COUNTY,"VA, LOUISA COUNTY","95,133"
VA,LUNENBURG COUNTY,"VA, LUNENBURG COUNTY","91,678"
PA,LUZERNE COUNTY,"PA, LUZERNE COUNTY","88,223"
PA,LYCOMING COUNTY,"PA, LYCOMING COUNTY","84,768"
VA,LYNCHBURG CITY,"VA, LYNCHBURG CITY","81,313"
VA,MADISON COUNTY,"VA, MADISON COUNTY","77,858"
VA,MANASSAS CITY,"VA, MANASSAS CITY","74,403"
VA,MANASSAS PARK CITY,"VA, MANASSAS PARK CITY","70,948"
VA,MARTINSVILLE CITY,"VA, MARTINSVILLE CITY","67,493"
VA,MATHEWS COUNTY,"VA, MATHEWS COUNTY","64,038"
PA,MCKEAN COUNTY,"PA, MCKEAN COUNTY","60,583"
VA,MECKLENBURG COUNTY,"VA, MECKLENBURG COUNTY","57,128"
PA,MERCER COUNTY,"PA, MERCER COUNTY","53,673"
VA,MIDDLESEX COUNTY,"VA, MIDDLESEX COUNTY","50,218"
PA,MIFFLIN COUNTY,"PA, MIFFLIN COUNTY","46,763"
PA,MONROE COUNTY,"PA, MONROE COUNTY","43,308"
MD,MONTGOMERY COUNTY,"MD, MONTGOMERY COUNTY","39,853"
PA,MONTGOMERY COUNTY,"PA, MONTGOMERY COUNTY","36,398"
VA,MONTGOMERY COUNTY,"VA, MONTGOMERY COUNTY","32,943"
PA,MONTOUR COUNTY,"PA, MONTOUR COUNTY","29,488"
VA,NELSON COUNTY,"VA, NELSON COUNTY","26,033"
DE,NEW CASTLE COUNTY,"DE, NEW CASTLE COUNTY","22,578"
VA,NEW KENT COUNTY,"VA, NEW KENT COUNTY","19,123"
VA,NEWPORT NEWS CITY,"VA, NEWPORT NEWS CITY","15,668"
VA,NORFOLK CITY,"VA, NORFOLK CITY","12,213"
PA,NORTHAMPTON COUNTY,"PA, NORTHAMPTON COUNTY","8,758"
VA,NORTHAMPTON COUNTY,"VA, NORTHAMPTON COUNTY","5,303"
PA,NORTHUMBERLAND COUNTY,"PA, NORTHUMBERLAND COUNTY","1,848"
VA,NORTHUMBERLAND COUNTY,"VA, NORTHUMBERLAND COUNTY",2
VA,NORTON CITY,"VA, NORTON CITY","1,002"
VA,NOTTOWAY COUNTY,"VA, NOTTOWAY COUNTY","2,002"
VA,ORANGE COUNTY,"VA, ORANGE COUNTY","3,002"
VA,PAGE COUNTY,"VA, PAGE COUNTY","4,002"
VA,PATRICK COUNTY,"VA, PATRICK COUNTY","5,002"
PA,PERRY COUNTY,"PA, PERRY COUNTY","6,002"
VA,PETERSBURG CITY,"VA, PETERSBURG CITY","7,002"
PA,PHILADELPHIA COUNTY,"PA, PHILADELPHIA COUNTY","8,002"
PA,PIKE COUNTY,"PA, PIKE COUNTY","9,002"
VA,PITTSYLVANIA COUNTY,"VA, PITTSYLVANIA COUNTY","10,002"
VA,POQUOSON CITY,"VA, POQUOSON CITY","11,002"
VA,PORTSMOUTH CITY,"VA, PORTSMOUTH CITY","12,002"
PA,POTTER COUNTY,"PA, POTTER COUNTY","13,002"
VA,POWHATAN COUNTY,"VA, POWHATAN COUNTY","14,002"
VA,PRINCE EDWARD COUNTY,"VA, PRINCE EDWARD COUNTY","15,002"
VA,PRINCE GEORGE COUNTY,"VA, PRINCE GEORGE COUNTY","16,002"
MD,PRINCE GEORGE'S COUNTY,"MD, PRINCE GEORGE'S COUNTY","17,002"
VA,PRINCE WILLIAM COUNTY,"VA, PRINCE WILLIAM COUNTY","18,002"
VA,PULASKI COUNTY,"VA, PULASKI COUNTY","19,002"
MD,QUEEN ANNE'S COUNTY,"MD, QUEEN ANNE'S COUNTY","20,002"
VA,RADFORD CITY,"VA, RADFORD CITY","21,002"
VA,RAPPAHANNOCK COUNTY,"VA, RAPPAHANNOCK COUNTY","22,002"
VA,RICHMOND CITY,"VA, RICHMOND CITY","23,002"
VA,RICHMOND COUNTY,"VA, RICHMOND COUNTY","24,002"
VA,ROANOKE CITY,"VA, ROANOKE CITY","25,002"
VA,ROANOKE COUNTY,"VA, ROANOKE COUNTY","26,002"
VA,ROCKBRIDGE COUNTY,"VA, ROCKBRIDGE COUNTY","27,002"
VA,ROCKINGHAM COUNTY,"VA, ROCKINGHAM COUNTY","28,002"
VA,RUSSELL COUNTY,"VA, RUSSELL COUNTY","29,002"
VA,SALEM CITY,"VA, SALEM CITY","30,002"
PA,SCHUYLKILL COUNTY,"PA, SCHUYLKILL COUNTY","31,002"
VA,SCOTT COUNTY,"VA, SCOTT COUNTY","32,002"
VA,SHENANDOAH COUNTY,"VA, SHENANDOAH COUNTY","33,002"
VA,SMYTH COUNTY,"VA, SMYTH COUNTY","34,002"
PA,SNYDER COUNTY,"PA, SNYDER COUNTY","35,002"
MD,SOMERSET COUNTY,"MD, SOMERSET COUNTY","36,002"
PA,SOMERSET COUNTY,"PA, SOMERSET COUNTY","37,002"
VA,SOUTHAMPTON COUNTY,"VA, SOUTHAMPTON COUNTY","38,002"
VA,SPOTSYLVANIA COUNTY,"VA, SPOTSYLVANIA COUNTY","39,002"
MD,ST. MARY'S COUNTY,"MD, ST. MARY'S COUNTY","40,002"
VA,STAFFORD COUNTY,"VA, STAFFORD COUNTY","41,002"
VA,STAUNTON CITY,"VA, STAUNTON CITY","42,002"
VA,SUFFOLK CITY,"VA, SUFFOLK CITY","43,002"
PA,SULLIVAN COUNTY,"PA, SULLIVAN COUNTY","44,002"
VA,SURRY COUNTY,"VA, SURRY COUNTY","45,002"
PA,SUSQUEHANNA COUNTY,"PA, SUSQUEHANNA COUNTY","46,002"
DE,SUSSEX COUNTY,"DE, SUSSEX COUNTY","47,002"
VA,SUSSEX COUNTY,"VA, SUSSEX COUNTY","48,002"
MD,TALBOT COUNTY,"MD, TALBOT COUNTY","49,002"
VA,TAZEWELL COUNTY,"VA, TAZEWELL COUNTY","50,002"
PA,TIOGA COUNTY,"PA, TIOGA COUNTY","51,002"
PA,UNION COUNTY,"PA, UNION COUNTY","52,002"
PA,VENANGO COUNTY,"PA, VENANGO COUNTY","53,002"
VA,VIRGINIA BEACH CITY,"VA, VIRGINIA BEACH CITY","54,002"
PA,WARREN COUNTY,"PA, WARREN COUNTY","55,002"
VA,WARREN COUNTY,"VA, WARREN COUNTY","56,002"
MD,WASHINGTON COUNTY,"MD, WASHINGTON COUNTY","57,002"
PA,WASHINGTON COUNTY,"PA, WASHINGTON COUNTY","58,002"
VA,WASHINGTON COUNTY,"VA, WASHINGTON COUNTY","59,002"
PA,WAYNE COUNTY,"PA, WAYNE COUNTY","60,002"
VA,WAYNESBORO CITY,"VA, WAYNESBORO CITY","61,002"
PA,WESTMORELAND COUNTY,"PA, WESTMORELAND COUNTY","62,002"
VA,WESTMORELAND COUNTY,"VA, WESTMORELAND COUNTY","63,002"
MD,WICOMICO COUNTY,"MD, WICOMICO COUNTY","64,002"
VA,WILLIAMSBURG CITY,"VA, WILLIAMSBURG CITY","65,002"
VA,WINCHESTER CITY,"VA, WINCHESTER CITY","66,002"
VA,WISE COUNTY,"VA, WISE COUNTY","67,002"
MD,WORCESTER COUNTY,"MD, WORCESTER COUNTY","68,002"
PA,WYOMING COUNTY,"PA, WYOMING COUNTY","69,002"
VA,WYTHE COUNTY,"VA, WYTHE COUNTY","70,002"
PA,YORK COUNTY,"PA, YORK COUNTY","71,002"
VA,YORK COUNTY,"VA, YORK COUNTY","72,002"
VA,ACCOMACK COUNTY,"VA, ACCOMACK COUNTY","73,002"
PA,ADAMS COUNTY,"PA, ADAMS COUNTY","74,002"
SC,AIKEN COUNTY,"SC, AIKEN COUNTY","75,002"
NC,ALAMANCE COUNTY,"NC, ALAMANCE COUNTY","76,002"
VA,ALBEMARLE COUNTY,"VA, ALBEMARLE COUNTY","77,002"
NC,ALEXANDER COUNTY,"NC, ALEXANDER COUNTY","78,002"
VA,ALEXANDRIA CITY,"VA, ALEXANDRIA CITY","79,002"
MD,ALLEGANY COUNTY,"MD, ALLEGANY COUNTY","80,002"
NC,ALLEGHANY COUNTY,"NC, ALLEGHANY COUNTY","81,002"
VA,ALLEGHANY COUNTY,"VA, ALLEGHANY COUNTY","82,002"
PA,ALLEGHENY COUNTY,"PA, ALLEGHENY COUNTY","83,002"
VA,AMELIA COUNTY,"VA, AMELIA COUNTY","84,002"
VA,AMHERST COUNTY,"VA, AMHERST COUNTY","85,002"
SC,ANDERSON COUNTY,"SC, ANDERSON COUNTY","86,002"
TN,ANDERSON COUNTY,"TN, ANDERSON COUNTY","87,002"
MD,ANNE ARUNDEL COUNTY,"MD, ANNE ARUNDEL COUNTY","88,002"
NC,ANSON COUNTY,"NC, ANSON COUNTY","89,002"
VA,ARLINGTON COUNTY,"VA, ARLINGTON COUNTY","90,002"
PA,ARMSTRONG COUNTY,"PA, ARMSTRONG COUNTY","91,002"
NC,ASHE COUNTY,"NC, ASHE COUNTY","92,002"
NJ,ATLANTIC COUNTY,"NJ, ATLANTIC COUNTY","93,002"
VA,AUGUSTA COUNTY,"VA, AUGUSTA COUNTY","94,002"
NC,AVERY COUNTY,"NC, AVERY COUNTY","95,002"
GA,BALDWIN COUNTY,"GA, BALDWIN COUNTY","96,002"
MD,BALTIMORE CITY,"MD, BALTIMORE CITY","97,002"
MD,BALTIMORE COUNTY,"MD, BALTIMORE COUNTY","98,002"
GA,BARROW COUNTY,"GA, BARROW COUNTY","99,002"
SC,BEAUFORT COUNTY,"SC, BEAUFORT COUNTY","100,002"
PA,BEAVER COUNTY,"PA, BEAVER COUNTY","101,002"
PA,BEDFORD COUNTY,"PA, BEDFORD COUNTY","102,002"
TN,BEDFORD COUNTY,"TN, BEDFORD COUNTY","103,002"
VA,BEDFORD COUNTY,"VA, BEDFORD COUNTY","104,002"
NJ,BERGEN COUNTY,"NJ, BERGEN COUNTY","105,002"
SC,BERKELEY COUNTY,"SC, BERKELEY COUNTY","106,002"
PA,BERKS COUNTY,"PA, BERKS COUNTY","107,002"
NC,BERTIE COUNTY,"NC, BERTIE COUNTY","108,002"
GA,BIBB COUNTY,"GA, BIBB COUNTY","109,002"
PA,BLAIR COUNTY,"PA, BLAIR COUNTY","110,002"
TN,BLOUNT COUNTY,"TN, BLOUNT COUNTY","111,002"
PA,BRADFORD COUNTY,"PA, BRADFORD COUNTY","112,002"
TN,BRADLEY COUNTY,"TN, BRADLEY COUNTY","113,002"
VA,BRISTOL CITY,"VA, BRISTOL CITY","114,002"
NC,BRUNSWICK COUNTY,"NC, BRUNSWICK COUNTY","115,002"
VA,BRUNSWICK COUNTY,"VA, BRUNSWICK COUNTY","116,002"
PA,BUCKS COUNTY,"PA, BUCKS COUNTY","117,002"
GA,BULLOCH COUNTY,"GA, BULLOCH COUNTY","118,002"
NC,BUNCOMBE COUNTY,"NC, BUNCOMBE COUNTY","119,002"
NC,BURKE COUNTY,"NC, BURKE COUNTY","120,002"
NJ,BURLINGTON COUNTY,"NJ, BURLINGTON COUNTY","121,002"
PA,BUTLER COUNTY,"PA, BUTLER COUNTY","122,002"
GA,BUTTS COUNTY,"GA, BUTTS COUNTY","123,002"
NC,CABARRUS COUNTY,"NC, CABARRUS COUNTY","124,002"
NC,CALDWELL COUNTY,"NC, CALDWELL COUNTY","125,002"
MD,CALVERT COUNTY,"MD, CALVERT COUNTY","126,002"
PA,CAMBRIA COUNTY,"PA, CAMBRIA COUNTY","127,002"
NJ,CAMDEN COUNTY,"NJ, CAMDEN COUNTY","128,002"
TN,CAMPBELL COUNTY,"TN, CAMPBELL COUNTY","129,002"
VA,CAMPBELL COUNTY,"VA, CAMPBELL COUNTY","130,002"
NJ,CAPE MAY COUNTY,"NJ, CAPE MAY COUNTY","131,002"
PA,CARBON COUNTY,"PA, CARBON COUNTY","132,002"
MD,CAROLINE COUNTY,"MD, CAROLINE COUNTY","133,002"
VA,CAROLINE COUNTY,"VA, CAROLINE COUNTY","134,002"
GA,CARROLL COUNTY,"GA, CARROLL COUNTY","135,002"
MD,CARROLL COUNTY,"MD, CARROLL COUNTY","136,002"
VA,CARROLL COUNTY,"VA, CARROLL COUNTY","137,002"
TN,CARTER COUNTY,"TN, CARTER COUNTY","138,002"
NC,CARTERET COUNTY,"NC, CARTERET COUNTY","139,002"
NC,CASWELL COUNTY,"NC, CASWELL COUNTY","140,002"
NC,CATAWBA COUNTY,"NC, CATAWBA COUNTY","141,002"
GA,CATOOSA COUNTY,"GA, CATOOSA COUNTY","142,002"
MD,CECIL COUNTY,"MD, CECIL COUNTY","143,002"
PA,CENTRE COUNTY,"PA, CENTRE COUNTY","144,002"
MD,CHARLES COUNTY,"MD, CHARLES COUNTY","145,002"
SC,CHARLESTON COUNTY,"SC, CHARLESTON COUNTY","146,002"
VA,CHARLOTTESVILLE CITY,"VA, CHARLOTTESVILLE CITY","147,002"
GA,CHATHAM COUNTY,"GA, CHATHAM COUNTY","148,002"
NC,CHATHAM COUNTY,"NC, CHATHAM COUNTY","149,002"
TN,CHEATHAM COUNTY,"TN, CHEATHAM COUNTY","150,002"
GA,CHEROKEE COUNTY,"GA, CHEROKEE COUNTY","151,002"
NC,CHEROKEE COUNTY,"NC, CHEROKEE COUNTY","152,002"
VA,CHESAPEAKE CITY,"VA, CHESAPEAKE CITY","153,002"
PA,CHESTER COUNTY,"PA, CHESTER COUNTY","154,002"
TN,CHESTER COUNTY,"TN, CHESTER COUNTY","155,002"
VA,CHESTERFIELD COUNTY,"VA, CHESTERFIELD COUNTY","156,002"
TN,CLAIBORNE COUNTY,"TN, CLAIBORNE COUNTY","157,002"
GA,CLARKE COUNTY,"GA, CLARKE COUNTY","158,002"
VA,CLARKE COUNTY,"VA, CLARKE COUNTY","159,002"
NC,CLAY COUNTY,"NC, CLAY COUNTY","160,002"
GA,CLAYTON COUNTY,"GA, CLAYTON COUNTY","161,002"
PA,CLEARFIELD COUNTY,"PA, CLEARFIELD COUNTY","162,002"
NC,CLEVELAND COUNTY,"NC, CLEVELAND COUNTY","163,002"
PA,CLINTON COUNTY,"PA, CLINTON COUNTY","164,002"
GA,COBB COUNTY,"GA, COBB COUNTY","165,002"
TN,COCKE COUNTY,"TN, COCKE COUNTY","166,002"
TN,COFFEE COUNTY,"TN, COFFEE COUNTY","167,002"
VA,COLONIAL HEIGHTS CITY,"VA, COLONIAL HEIGHTS CITY","168,002"
PA,COLUMBIA COUNTY,"PA, COLUMBIA COUNTY","169,002"
NC,COLUMBUS COUNTY,"NC, COLUMBUS COUNTY","170,002"
GA,COWETA COUNTY,"GA, COWETA COUNTY","171,002"
NC,CRAVEN COUNTY,"NC, CRAVEN COUNTY","172,002"
PA,CRAWFORD COUNTY,"PA, CRAWFORD COUNTY","173,002"
VA,CULPEPER COUNTY,"VA, CULPEPER COUNTY","174,002"
NC,CUMBERLAND COUNTY,"NC, CUMBERLAND COUNTY","175,002"
NJ,CUMBERLAND COUNTY,"NJ, CUMBERLAND COUNTY","176,002"
PA,CUMBERLAND COUNTY,"PA, CUMBERLAND COUNTY","177,002"
TN,CUMBERLAND COUNTY,"TN, CUMBERLAND COUNTY","178,002"
VA,DANVILLE CITY,"VA, DANVILLE CITY","179,002"
NC,DARE COUNTY,"NC, DARE COUNTY","180,002"
SC,DARLINGTON COUNTY,"SC, DARLINGTON COUNTY","181,002"
PA,DAUPHIN COUNTY,"PA, DAUPHIN COUNTY","182,002"
NC,DAVIDSON COUNTY,"NC, DAVIDSON COUNTY","183,002"
TN,DAVIDSON COUNTY,"TN, DAVIDSON COUNTY","184,002"
NC,DAVIE COUNTY,"NC, DAVIE COUNTY","185,002"
GA,DEKALB COUNTY,"GA, DEKALB COUNTY","186,002"
TN,DEKALB COUNTY,"TN, DEKALB COUNTY","187,002"
PA,DELAWARE COUNTY,"PA, DELAWARE COUNTY","188,002"
VA,DICKENSON COUNTY,"VA, DICKENSON COUNTY","189,002"
TN,DICKSON COUNTY,"TN, DICKSON COUNTY","190,002"
DC,DISTRICT OF COLUMBIA,"DC, DISTRICT OF COLUMBIA","191,002"
MD,DORCHESTER COUNTY,"MD, DORCHESTER COUNTY","192,002"
SC,DORCHESTER COUNTY,"SC, DORCHESTER COUNTY","193,002"
GA,DOUGLAS COUNTY,"GA, DOUGLAS COUNTY","194,002"
NC,DUPLIN COUNTY,"NC, DUPLIN COUNTY","195,002"
NC,DURHAM COUNTY,"NC, DURHAM COUNTY","196,002"
TN,DYER COUNTY,"TN, DYER COUNTY","197,002"
NC,EDGECOMBE COUNTY,"NC, EDGECOMBE COUNTY","198,002"
VA,EMPORIA CITY,"VA, EMPORIA CITY","199,002"
PA,ERIE COUNTY,"PA, ERIE COUNTY","200,002"
NJ,ESSEX COUNTY,"NJ, ESSEX COUNTY","201,002"
VA,FAIRFAX CITY,"VA, FAIRFAX CITY","202,002"
VA,FAIRFAX COUNTY,"VA, FAIRFAX COUNTY","203,002"
VA,FALLS CHURCH CITY,"VA, FALLS CHURCH CITY","204,002"
VA,FAUQUIER COUNTY,"VA, FAUQUIER COUNTY","205,002"
GA,FAYETTE COUNTY,"GA, FAYETTE COUNTY","206,002"
PA,FAYETTE COUNTY,"PA, FAYETTE COUNTY","207,002"
SC,FLORENCE COUNTY,"SC, FLORENCE COUNTY","208,002"
VA,FLUVANNA COUNTY,"VA, FLUVANNA COUNTY","209,002"
GA,FORSYTH COUNTY,"GA, FORSYTH COUNTY","210,002"
NC,FORSYTH COUNTY,"NC, FORSYTH COUNTY","211,002"
NC,FRANKLIN COUNTY,"NC, FRANKLIN COUNTY","212,002"
PA,FRANKLIN COUNTY,"PA, FRANKLIN COUNTY","213,002"
TN,FRANKLIN COUNTY,"TN, FRANKLIN COUNTY","214,002"
VA,FRANKLIN COUNTY,"VA, FRANKLIN COUNTY","215,002"
MD,FREDERICK COUNTY,"MD, FREDERICK COUNTY","216,002"
VA,FREDERICK COUNTY,"VA, FREDERICK COUNTY","217,002"
VA,FREDERICKSBURG CITY,"VA, FREDERICKSBURG CITY","218,002"
GA,FULTON COUNTY,"GA, FULTON COUNTY","219,002"
PA,FULTON COUNTY,"PA, FULTON COUNTY","220,002"
VA,GALAX CITY,"VA, GALAX CITY","221,002"
MD,GARRETT COUNTY,"MD, GARRETT COUNTY","222,002"
NC,GASTON COUNTY,"NC, GASTON COUNTY","223,002"
TN,GIBSON COUNTY,"TN, GIBSON COUNTY","224,002"
VA,GILES COUNTY,"VA, GILES COUNTY","225,002"
NJ,GLOUCESTER COUNTY,"NJ, GLOUCESTER COUNTY","226,002"
VA,GLOUCESTER COUNTY,"VA, GLOUCESTER COUNTY","227,002"
